database_name,row_count,embedding_dimension,insertion_time(s)
Postgres,10,384,0.208
Postgres,100,384,0.381
Postgres,200,384,0.327
Postgres,300,384,0.316
Postgres,400,384,0.403
Postgres,10,512,0.085
Postgres,100,512,0.158
Postgres,200,512,0.198
Postgres,300,512,0.274
Postgres,400,512,0.460
Postgres,10,768,0.092
Postgres,100,768,0.157
Postgres,200,768,0.319
Postgres,300,768,0.430
Postgres,400,768,0.575
Postgres,10,1024,0.044
Postgres,100,1024,0.321
Postgres,200,1024,0.336
Postgres,300,1024,0.481
Postgres,400,1024,0.648
